codigo_escola;NO_ENTIDADE;codigo_municipio;segmento_comercial;rede_propria_poliedro;score_destaque;sistema_ensino_identificado;confianca;fonte_resumo
32038720;ESCOLA SANTA ADAME;3205200;Desafiante (2º-5º local);False;0,7013;não identificado;nao_identificado;Escola Santa Adame (Vila Velha) — busca (Serper) não trouxe nenhum termo de sistema conhecido nem indício de material próprio/confessional
42006708;COLEGIO SAO JOSE;4218707;Desafiante (2º-5º local);False;0,7004;não identificado;nao_identificado;Colegio Sao Jose (Tubarão) — busca (Serper) não trouxe nenhum termo de sistema conhecido nem indício de material próprio/confessional
22025740;INSTITUTO DOM BARRETO CENTRO;2211001;Líder local;False;0,9662;não identificado;nao_identificado;"Instituto Dom Barreto (Teresina, unidade Centro) — busca não trouxe o nome de um sistema de terceiros; escola tradicional grande o bastante pra ter perfil de material próprio, não confirmado"
53020570;COL PODION ENS FUND E MEDIO;5300108;Líder local;False;0,9654;Sistema SAS (Grupo Arco Educação);confirmado;Colégio Pódion (Brasília) — corrigido pelo Gui: usa Sistema SAS de Ensino (confirmado via vídeo institucional 'SAS Educação + Colégio Pódion')
31004651;COLEGIO SANTO AGOSTINHO;3106200;Líder local;False;0,9613;não identificado;provavel_proprio;Colégio Santo Agostinho (BH) — confessional agostiniano, Microsoft Showcase School é certificação de tecnologia, não sistema didático de terceiros
33063729;COLEGIO SANTO INACIO;3304557;Líder local;False;0,9522;Sistema FTD;confirmado;"Colégio Santo Inácio (RJ, Rede Jesuíta) — achado PDF de lista de material citando ""Sistema de Ensino – Editora FTD""; confiança média (o PDF veio de um domínio santoinacio.com.br genérico, pode ser de outra unidade jesuíta com o mesmo nome, não 100% certo que é a unidade do Rio especificamente)"
25097539;COLEGIO E CURSO EVOLUCAO;2507507;Líder local;False;0,9512;Sistema Bernoulli (Grupo Bernoulli Educação, independente);confirmado;Colégio e Curso Evolução (João Pessoa) — corrigido pelo Gui: usa Sistema Bernoulli de Ensino
23246871;ARI DE SA CAVALCANTE - MARIO MAMEDE;2304400;Líder local;False;0,9486;Sistema SAS (Grupo Arco Educação);confirmado;"Ari de Sá Cavalcante - Mário Mamede (Fortaleza) — usa SAS (Sistema Ari de Sá), marca criada pela PRÓPRIA rede Ari de Sá e hoje operada pelo Grupo Arco Educação (junto com pH/Plataforma COC/Geekie), vendida a +1.200 escolas; concorrente, mas a rede não compraria de fora"
33057109;COLEGIO LA SALLE ABEL;3303302;Líder local;False;0,9485;não identificado;nao_identificado;Colégio La Salle Abel (Santos) — a Rede La Salle em geral usa 'Itinerários Formativos' próprios + Sistema COC em pelo menos uma unidade (Botucatu), mas não achei confirmação específica pra unidade Abel/Santos
24057134;COLEGIO MARISTA DE NATAL;2408102;Líder local;False;0,9481;Sistema Marista (produzido pela Editora FTD, exclusivo da Rede Marista);confirmado;Colégio Marista de Natal — mesmo SME (Sistema Marista de Educação) da unidade de BH
27220885;COLEGIO CONTATO MACEIO;2704302;Líder local;False;0,9466;Sistema Poliedro;confirmado;Colégio Contato (Maceió) — ATENÇÃO: site do próprio colégio se declara 'parceiro exclusivo em Alagoas do Sistema de Ensino Poliedro'. Já é rede Poliedro sob outra marca — não passou pelo filtro de exclusão do passo 09 (que só olha 'POLIEDRO' no nome oficial do Censo). Ver observação abaixo do dict.
26189569;COLEGIO COGNITIVO;2611606;Líder local;False;0,9452;não identificado;provavel_proprio;Colégio Cognitivo (Recife, unidade Casa Forte) — material 'fundamentado em livros didáticos' escolhido pela própria equipe de professores, sem sistema de terceiros citado
35805555;EMBRAER JUAREZ WANDERLEY COLEGIO;3549904;Líder local;False;0,9393;Sistema Pitágoras (Grupo Cogna);confirmado;"Colégio Embraer Juarez Wanderley (São José dos Campos) — gerido pelo Sistema Pitágoras de Ensino (Grupo Cogna, fundado a partir do próprio Pitágoras em 1966) via Instituto Embraer; ATENÇÃO: escola de bolsa integral (~80% bolsistas), não é comprador comercial típico"
32041152;ESCOLA SAO DOMINGOS;3205309;Líder local;False;0,9377;Sistema Eleva (Grupo Eleva Educação);confirmado;"Escola São Domingos (Vitória) — material Eleva citado em contrato público (4 volumes), ao lado de Edify (bilíngue) e Escola da Inteligência; confiança média-alta, fonte é documento contratual, não o site oficial"
15168344;COLEGIO EQUIPE CRISTAL;1501402;Líder local;False;0,9367;Sistema Equipe (Grupo Equipe, independente/regional Norte-Nordeste);confirmado;Colégio Equipe Cristal (Belém) — unidade da rede Sistema de Ensino Equipe, mesma marca própria da unidade de Recife
31333921;COLEGIO SANTO AGOSTINHO UNIDADE NOVA LIMA;3144805;Líder local;False;0,9365;não identificado;provavel_proprio;Colégio Santo Agostinho (Nova Lima) — mesma rede confessional da unidade BH, sem sistema de terceiros citado
43139108;UNIDADE DE ENSINO COLEGIO SINODAL - SAO LEOPOLDO;4318705;Líder local;False;0,9338;Sistema Bernoulli (Grupo Bernoulli Educação, independente);confirmado;Colégio Sinodal São Leopoldo (RS) — lista de material oficial 2025/2026 cita explicitamente 'a base do material didático será da Editora Bernoulli' pra 1ª série do Ensino Médio
31193097;COLEGIO SAO FRANCISCO XAVIER - CARIRU;3131307;Líder local;False;0,9328;Sistema Bernoulli (Grupo Bernoulli Educação, independente);confirmado;Colégio São Francisco Xavier (Ipatinga, MG — bairro Cariru, daí o nome 'CARIRU' no Censo) — parceria oficial com o Sistema Bernoulli desde 2023 pro Ensino Médio (csfx.com.br/fsfx.com.br)
31205265;INST PRESBITERIANO GAMMON;3138203;Líder local;False;0,9304;Sistema Fibonacci;confirmado;"Instituto Presbiteriano Gammon (Lavras, MG — sede/unidade histórica da rede, confirmado via codigo_municipio) — Instagram oficial @ipgammon cita 'Sistema de Ensino Fibonacci' com material didático próprio da marca; ATENÇÃO: unidades satélite da mesma rede (ex.: Guanhães) usam SAS — sistemas variam por unidade dentro do próprio grupo Gammon"
15103080;GRUPO FUTURO EDUCACIONAL MARABA;1504208;Líder local;False;0,9303;Sistema SAS (Grupo Arco Educação);confirmado;Grupo Futuro Educacional (Marabá, PA) — Instagram oficial @futuroeducacional: 'Material didático do SAS, um dos melhores sistemas de ensino do Brasil'
31014061;COLEGIO SANTO AGOSTINHO-UNIDADE CONTAGEM;3118601;Líder local;False;0,9298;não identificado;provavel_proprio;"Colégio Santo Agostinho-Unidade Contagem — mesma rede confessional agostiniano das unidades BH (31004651) e Nova Lima (31333921), já registradas sem sistema de terceiros; registrado por padrão de rede (pedido do Gui), sem pesquisa nova"
29480620;CENTRO EDUCACIONAL VILLA LOBOS;2905701;Líder local;False;0,9253;não identificado;nao_identificado;"Centro Educacional Villa Lobos (Camaçari, BA) — busca não confirmou sistema; ATENÇÃO: unidade irmã (mesmo CNPJ 04692152000153, unidade Salvador) usa Sistema COC — vale conferir se Camaçari segue o mesmo, não presumi"
43173330;COL JOAO PAULO I - UNIDADE SUL;4314902;Líder local;False;0,9234;Sistema SAS (Grupo Arco Educação);confirmado;"Col João Paulo I - Unidade Sul (Porto Alegre, zona sul / JPSul) — usa material SAS (Ari de Sá); confiança média-alta, fonte não é o site oficial da escola (fleye.com.br), recomendável checar lista de material oficial se possível"
35115712;RAUL BAUAB DOUTOR FUNDACAO EDUCACIONAL COLEGIO;3525300;Líder local;False;0,9228;não identificado;nao_identificado;"Fundação Educacional Raul Bauab (Jaú, SP) — perfil institucional/técnico (PDI, produção acadêmica de docentes em Lattes/Escavador), sem sinal de sistema de ensino comercial licenciado; pode usar material próprio institucional, não confirmado"
35399197;OBJETIVO COLEGIO INTEGRADO;3550308;Líder local;False;0,9228;Sistema Objetivo (Grupo Objetivo/UNIP, independente);confirmado;Objetivo Colégio Integrado — usa Coleção Didática do Sistema Objetivo (concorrente direto)
52103137;COLEGIO ARENA;5208707;Líder local;False;0,921;não identificado;nao_identificado;"Colégio Arena (Goiânia) — busca não trouxe sistema de terceiros; site oficial não citado nos resultados"
35142967;COLEGIO ENGENHEIRO SALVADOR ARENA;3548708;Líder local;False;0,9204;não identificado;provavel_proprio;Colégio Engenheiro Salvador Arena (São Bernardo do Campo) — mantido pela Fundação Salvador Arena, ensino gratuito, metodologia/currículo próprios, sem sistema de terceiros citado
35286187;ETAPA COLEGIO;3556206;Líder local;False;0,9198;Sistema Etapa (produzido pelo próprio Colégio Etapa, comercializado a escolas conveniadas);confirmado;Etapa Colégio (Valinhos) — usa o Sistema Etapa, material próprio da rede Etapa que também é vendido a escolas conveniadas em todo o Brasil
31354562;COLEGIO GABARITO;3170107;Líder local;False;0,9197;não identificado;provavel_proprio;"Colégio Gabarito (Uberaba) — rede própria (Gabarito Educação, 7 unidades em MG) que licencia SUA PRÓPRIA marca/material a escolas afiliadas na região; não usa sistema de terceiros, é ela quem licencia"
33042578;COLEGIO SAO PAULO;3305802;Líder local;False;0,9179;não identificado;nao_identificado;Colégio São Paulo (Teresópolis) — busca não trouxe sistema de terceiros
31074373;COLEGIO SANTA CATARINA;3136702;Líder local;False;0,9151;não identificado;nao_identificado;Colégio Santa Catarina (Juiz de Fora) — busca não trouxe sistema de terceiros (não confundir com 'Colégio Franciscano Santa Catarina', rede G12 diferente, que usa Positivo)
31041181;ESCOLA TECNICA DE DIVINOPOLIS-INTEGRAL;3122306;Líder local;False;0,9142;não identificado;nao_identificado;"Escola Técnica de Divinópolis-Integral — busca só retornou resultados do 'Anglo Divinópolis', escola diferente; sem sinal pra esta"
24281301;COLEGIO SALESIANO DOM BOSCO;2403251;Líder local;False;0,9133;não identificado;provavel_proprio;Colégio Salesiano Dom Bosco (Parnamirim) — rede salesiana, pedagogia própria da congregação (Sistema Preventivo de Dom Bosco), sem sistema comercial de terceiros citado
52020517;COLEGIO GALILEU;5201108;Líder local;False;0,9122;Sistema Bernoulli (Grupo Bernoulli Educação, independente);confirmado;"Colégio Galileu (Anápolis) — site oficial cita dois sistemas por segmento (Positivo na Infantil/Fund. I, Bernoulli do Fund. II/EM em diante); registrado só o de Fund.II/EM em diante, por pedido do Gui (é o segmento que mais importa pro perfil de venda)"
31339989;INSTITUTO EDUCACIONAL MARGARIDA REZENDE;3118304;Líder local;False;0,9119;Sistema SAS (Grupo Arco Educação);confirmado;Instituto Educacional Margarida Rezende - IEMAR (Conselheiro Lafaiete) — parceria com SAS Educação citada como diferencial da escola
50032895;COLEGIO UNIGRAN - UNIDADE II;5003702;Líder local;False;0,9109;Sistema Anglo (Grupo Cogna);confirmado;Colégio Unigran - Unidade II (Dourados) — opera como 'Colégio Anglo Unigran', usa material do Sistema Anglo de Ensino
43119930;COLEGIO MAUA;4316808;Líder local;False;0,9108;não identificado;nao_identificado;Colégio Mauá (Santa Cruz do Sul) — filantrópica tradicional (150+ anos), busca não trouxe sistema de terceiros
29422272;CENTRO EDUCACIONAL VILLA LOBOS;2927408;Líder local;False;0,9089;Sistema COC;confirmado;"Centro Educacional Villa Lobos (Salvador) — usa o Sistema COC do Fund. I ao EM; ver observação na unidade irmã de Camaçari (mesmo CNPJ, não confirmado lá)"
41148142;COLEGIO DO BOSQUE MANANCIAIS;4106902;Líder local;False;0,908;Sistema Poliedro;confirmado;"Colégio do Bosque Mananciais (Curitiba) — usa material do Sistema Poliedro do Fund. II ao EM, uma das poucas escolas de Curitiba com Poliedro desde o Fundamental; MESMO PADRÃO do caso Contato/Ábaco: Golden Lead que já é cliente Poliedro sob marca própria, sem passar pelo filtro de nome do passo 09"
35449003;FAAP RIBEIRAO PRETO COLEGIO;3543402;Líder local;False;0,9069;não identificado;provavel_proprio;Colégio FAAP (Ribeirão Preto) — material didático exclusivo de produção própria da FAAP, sem sistema de terceiros
21010331;COLEGIO DOM BOSCO LTDA;2111300;Líder local;False;0,905;Sistema SAS (Grupo Arco Educação);confirmado;Colégio Dom Bosco (São Luís, MA) — usa a plataforma SAS (inclusive o Eureka, gamificação SAS pros Anos Finais)
28032322;CENTRO DE EXCELENCIA MASTER;2800308;Líder local;False;0,9047;Sistema SAS (Grupo Arco Educação);confirmado;Centro de Excelência Master (Aracaju) — usa Sistema Ari de Sá (SAS), com 'Meta SAS' e avaliações sistemáticas próprias do sistema citadas pelo colégio
25073214;COLEGIO NOSSA SENHORA DE LOURDES;2504009;Líder local;False;0,9017;Sistema SAS (Grupo Arco Educação);confirmado;Colégio Nossa Senhora de Lourdes (Campina Grande) — usa o sistema SAS de ensino
43216471;UNIDADE DE ENSINO COLEGIO SINODAL PRADO GRAVATAI;4309209;Líder local;False;0,9003;não identificado;nao_identificado;"Unidade de Ensino Colégio Sinodal Prado Gravataí — mesma mantenedora (ISAEC/IECLB) da unidade São Leopoldo (que confirma Bernoulli no EM), mas não achei confirmação direta pra esta unidade especificamente; não presumi"
43175317;SOCIEDADE EDUCACIONAL MARIO QUINTANA LTDA;4314407;Líder local;False;0,8998;não identificado;nao_identificado;Sociedade Educacional Mario Quintana Ltda (Pelotas) — busca (Serper) não trouxe nenhum termo de sistema conhecido nem indício de material próprio/confessional
35173186;LICEU JARDIM;3547809;Líder local;False;0,8964;não identificado;nao_identificado;Liceu Jardim (Santo André) — busca (Serper) não trouxe nenhum termo de sistema conhecido nem indício de material próprio/confessional
31184331;COLEGIO SAGRADO CORACAO DE MARIA;3169901;Líder local;False;0,8958;não identificado;nao_identificado;Colégio Sagrado Coração de Maria (Ubá) — só ruído de lista PROUNI/premiação, sem atribuição direta
31013935;COLEGIO BATISTA MINEIRO - UNIDADE BETIM;3106705;Líder local;False;0,8944;Sistema Fibonacci;confirmado;"Colégio Batista Mineiro - Unidade Betim — Instagram oficial: '✔️ Material didático atualizado (Sistema Fibonacci)', repetido em 2 posts; corrobora achado anterior do Instituto Gammon (Lavras) também usando Fibonacci — parece sistema regional de MG com mais de um adotante"
35112562;NOTRE DAME DE CAMPINAS COLEGIO;3509502;Líder local;False;0,8935;não identificado;nao_identificado;Notre Dame de Campinas Colégio — só ruído de lista de premiação (Anglo Sistema de Ensino é de outra escola em Tatuí)
29530210;SARTRE ESCOLA SEB - MONET;2919207;Líder local;False;0,8895;não identificado;nao_identificado;Sartre Escola Seb - Monet (Lauro de Freitas) — busca (Serper) não trouxe nenhum termo de sistema conhecido nem indício de material próprio/confessional
22014543;COLEGIO NOSSA SENHORA DAS GRACAS;2207702;Líder local;False;0,8883;não identificado;nao_identificado;"Colégio Nossa Senhora das Graças (Parnaíba) — menção a 'Via Sapiens' é cursinho visitante, não sistema próprio; 'Sistema de Ensino Authentico' no snippet é de escola em Belém"
